variant,top_k,retrieval_cost,rerank_cost,generation_cost,total_cost,cost_usd,retrieval_latency_ms,rerank_latency_ms,generation_latency_ms,total_latency_ms,latency_ms,recall_at_k,mrr,ndcg_at_k,context_precision,context_recall,faithfulness,answer_term_coverage,hallucination_risk,pareto_optimal,scenario,scenario_latency_ms,scenario_cost
lexical_k5,5.0,1.08e-06,0.0,2.1944285714285715e-05,2.3024285714285715e-05,2.3024285714285715e-05,187.1,0.0,180.0,367.1,367.1,0.8690476190476191,0.8541666666666666,0.8274623198967402,0.22142857142857145,0.8690476190476191,0.9884941221202387,0.9053571428571429,0.04060382062184485,True,managed_vector_db,422.165,2.8780357142857143e-05
lexical_k5_rerank,5.0,1.08e-06,2e-05,2.206142857142857e-05,4.314142857142857e-05,4.314142857142857e-05,187.1,90.0,180.0,457.1,457.1,0.8839285714285714,0.8571428571428571,0.8401635854666785,0.2285714285714286,0.8839285714285714,0.9866426800201966,0.8946428571428572,0.04555725798687224,True,managed_vector_db,525.665,5.392678571428571e-05
hybrid_k5_rerank,5.0,1.08e-06,2e-05,5.729571428571429e-05,7.837571428571428e-05,7.837571428571428e-05,187.1,90.0,310.0,587.1,587.1,0.8839285714285714,0.8660714285714286,0.8481876829181134,0.2285714285714286,0.8839285714285714,0.9980527279559701,0.8910714285714286,0.03939072682861947,True,managed_vector_db,675.165,9.796964285714285e-05
hybrid_k8_rerank,8.0,1.08e-06,3.2e-05,6.391071428571429e-05,9.699071428571428e-05,9.699071428571428e-05,200.6,144.0,310.0,654.6,654.6,0.9166666666666666,0.8683035714285714,0.8621765524357942,0.15178571428571427,0.9166666666666666,0.9980527279559701,0.8910714285714286,0.03939072682861947,True,managed_vector_db,752.79,0.00012123839285714285
hybrid_k10_large,10.0,1.08e-06,4e-05,0.0001554607142857143,0.00019654071428571427,0.00019654071428571427,209.6,180.0,520.0,909.6,909.6,0.9166666666666666,0.8683035714285714,0.8621765524357942,0.12142857142857143,0.9166666666666666,1.0,0.8910714285714286,0.03812500000000001,True,managed_vector_db,1046.04,0.0002456758928571428
dense_hash_k5,5.0,2.28e-06,0.0,2.1781428571428573e-05,2.406142857142857e-05,2.406142857142857e-05,199.1,0.0,180.0,379.1,379.1,0.7886904761904762,0.7086309523809524,0.7075949748064025,0.19285714285714287,0.7886904761904762,0.9881858160545797,0.7422619047619048,0.09788755289785657,False,managed_vector_db,435.965,3.0076785714285715e-05
dense_hash_k5_rerank,5.0,2.28e-06,2e-05,2.2112857142857143e-05,4.4392857142857144e-05,4.4392857142857144e-05,199.1,90.0,180.0,469.1,469.1,0.8065476190476191,0.7886904761904762,0.7651637103092792,0.19642857142857145,0.8065476190476191,0.9873705169491018,0.8565476190476191,0.05841749731641717,False,managed_vector_db,539.465,5.549107142857143e-05
hybrid_dense_hash_k5_rerank,5.0,2.28e-06,2e-05,5.7430714285714287e-05,7.971071428571428e-05,7.971071428571428e-05,203.1,90.0,310.0,603.1,603.1,0.8541666666666666,0.8333333333333334,0.8143837268549787,0.2142857142857143,0.8541666666666666,0.9980705928355861,0.8982142857142857,0.03687911465686906,True,managed_vector_db,693.5649999999999,9.963839285714285e-05
lexical_k3,3.0,1.08e-06,0.0,1.9125714285714287e-05,2.0205714285714286e-05,2.0205714285714286e-05,178.1,0.0,180.0,358.1,358.1,0.8244047619047619,0.8541666666666666,0.8033357048350809,0.3333333333333333,0.8244047619047619,0.9884941221202387,0.9053571428571429,0.04060382062184485,True,hosted_llm_expensive,358.1,4.041142857142857e-05
lexical_k5,5.0,1.08e-06,0.0,2.1944285714285715e-05,2.3024285714285715e-05,2.3024285714285715e-05,187.1,0.0,180.0,367.1,367.1,0.8690476190476191,0.8541666666666666,0.8274623198967402,0.22142857142857145,0.8690476190476191,0.9884941221202387,0.9053571428571429,0.04060382062184485,True,hosted_llm_expensive,367.1,4.604857142857143e-05
lexical_k5_rerank,5.0,1.08e-06,2e-05,2.206142857142857e-05,4.314142857142857e-05,4.314142857142857e-05,187.1,90.0,180.0,457.1,457.1,0.8839285714285714,0.8571428571428571,0.8401635854666785,0.2285714285714286,0.8839285714285714,0.9866426800201966,0.8946428571428572,0.04555725798687224,True,hosted_llm_expensive,457.1,8.628285714285714e-05
hybrid_k5_rerank,5.0,1.08e-06,2e-05,5.729571428571429e-05,7.837571428571428e-05,7.837571428571428e-05,187.1,90.0,310.0,587.1,587.1,0.8839285714285714,0.8660714285714286,0.8481876829181134,0.2285714285714286,0.8839285714285714,0.9980527279559701,0.8910714285714286,0.03939072682861947,True,hosted_llm_expensive,587.1,0.00015675142857142857
hybrid_k8_rerank,8.0,1.08e-06,3.2e-05,6.391071428571429e-05,9.699071428571428e-05,9.699071428571428e-05,200.6,144.0,310.0,654.6,654.6,0.9166666666666666,0.8683035714285714,0.8621765524357942,0.15178571428571427,0.9166666666666666,0.9980527279559701,0.8910714285714286,0.03939072682861947,True,hosted_llm_expensive,654.6,0.00019398142857142856
hybrid_k10_large,10.0,1.08e-06,4e-05,0.0001554607142857143,0.00019654071428571427,0.00019654071428571427,209.6,180.0,520.0,909.6,909.6,0.9166666666666666,0.8683035714285714,0.8621765524357942,0.12142857142857143,0.9166666666666666,1.0,0.8910714285714286,0.03812500000000001,True,hosted_llm_expensive,909.6,0.00039308142857142855
dense_hash_k5,5.0,2.28e-06,0.0,2.1781428571428573e-05,2.406142857142857e-05,2.406142857142857e-05,199.1,0.0,180.0,379.1,379.1,0.7886904761904762,0.7086309523809524,0.7075949748064025,0.19285714285714287,0.7886904761904762,0.9881858160545797,0.7422619047619048,0.09788755289785657,False,hosted_llm_expensive,379.1,4.812285714285714e-05
dense_hash_k5_rerank,5.0,2.28e-06,2e-05,2.2112857142857143e-05,4.4392857142857144e-05,4.4392857142857144e-05,199.1,90.0,180.0,469.1,469.1,0.8065476190476191,0.7886904761904762,0.7651637103092792,0.19642857142857145,0.8065476190476191,0.9873705169491018,0.8565476190476191,0.05841749731641717,False,hosted_llm_expensive,469.1,8.878571428571429e-05
hybrid_dense_hash_k5_rerank,5.0,2.28e-06,2e-05,5.7430714285714287e-05,7.971071428571428e-05,7.971071428571428e-05,203.1,90.0,310.0,603.1,603.1,0.8541666666666666,0.8333333333333334,0.8143837268549787,0.2142857142857143,0.8541666666666666,0.9980705928355861,0.8982142857142857,0.03687911465686906,True,hosted_llm_expensive,603.1,0.00015942142857142857
lexical_k3,3.0,1.08e-06,0.0,1.9125714285714287e-05,2.0205714285714286e-05,2.0205714285714286e-05,178.1,0.0,180.0,358.1,358.1,0.8244047619047619,0.8541666666666666,0.8033357048350809,0.3333333333333333,0.8244047619047619,0.9884941221202387,0.9053571428571429,0.04060382062184485,True,neural_embedding_cpu,483.43500000000006,2.4246857142857144e-05
lexical_k5,5.0,1.08e-06,0.0,2.1944285714285715e-05,2.3024285714285715e-05,2.3024285714285715e-05,187.1,0.0,180.0,367.1,367.1,0.8690476190476191,0.8541666666666666,0.8274623198967402,0.22142857142857145,0.8690476190476191,0.9884941221202387,0.9053571428571429,0.04060382062184485,True,neural_embedding_cpu,495.58500000000004,2.7629142857142856e-05
lexical_k5_rerank,5.0,1.08e-06,2e-05,2.206142857142857e-05,4.314142857142857e-05,4.314142857142857e-05,187.1,90.0,180.0,457.1,457.1,0.8839285714285714,0.8571428571428571,0.8401635854666785,0.2285714285714286,0.8839285714285714,0.9866426800201966,0.8946428571428572,0.04555725798687224,True,neural_embedding_cpu,617.085,5.176971428571428e-05
hybrid_k5_rerank,5.0,1.08e-06,2e-05,5.729571428571429e-05,7.837571428571428e-05,7.837571428571428e-05,187.1,90.0,310.0,587.1,587.1,0.8839285714285714,0.8660714285714286,0.8481876829181134,0.2285714285714286,0.8839285714285714,0.9980527279559701,0.8910714285714286,0.03939072682861947,True,neural_embedding_cpu,792.585,9.405085714285713e-05
hybrid_k8_rerank,8.0,1.08e-06,3.2e-05,6.391071428571429e-05,9.699071428571428e-05,9.699071428571428e-05,200.6,144.0,310.0,654.6,654.6,0.9166666666666666,0.8683035714285714,0.8621765524357942,0.15178571428571427,0.9166666666666666,0.9980527279559701,0.8910714285714286,0.03939072682861947,True,neural_embedding_cpu,883.71,0.00011638885714285714
hybrid_k10_large,10.0,1.08e-06,4e-05,0.0001554607142857143,0.00019654071428571427,0.00019654071428571427,209.6,180.0,520.0,909.6,909.6,0.9166666666666666,0.8683035714285714,0.8621765524357942,0.12142857142857143,0.9166666666666666,1.0,0.8910714285714286,0.03812500000000001,True,neural_embedding_cpu,1227.96,0.0002358488571428571
dense_hash_k5,5.0,2.28e-06,0.0,2.1781428571428573e-05,2.406142857142857e-05,2.406142857142857e-05,199.1,0.0,180.0,379.1,379.1,0.7886904761904762,0.7086309523809524,0.7075949748064025,0.19285714285714287,0.7886904761904762,0.9881858160545797,0.7422619047619048,0.09788755289785657,False,neural_embedding_cpu,511.7850000000001,2.8873714285714285e-05
dense_hash_k5_rerank,5.0,2.28e-06,2e-05,2.2112857142857143e-05,4.4392857142857144e-05,4.4392857142857144e-05,199.1,90.0,180.0,469.1,469.1,0.8065476190476191,0.7886904761904762,0.7651637103092792,0.19642857142857145,0.8065476190476191,0.9873705169491018,0.8565476190476191,0.05841749731641717,False,neural_embedding_cpu,633.2850000000001,5.327142857142857e-05
hybrid_dense_hash_k5_rerank,5.0,2.28e-06,2e-05,5.7430714285714287e-05,7.971071428571428e-05,7.971071428571428e-05,203.1,90.0,310.0,603.1,603.1,0.8541666666666666,0.8333333333333334,0.8143837268549787,0.2142857142857143,0.8541666666666666,0.9980705928355861,0.8982142857142857,0.03687911465686906,True,neural_embedding_cpu,814.1850000000001,9.565285714285714e-05
lexical_k3,3.0,1.08e-06,0.0,1.9125714285714287e-05,2.0205714285714286e-05,2.0205714285714286e-05,178.1,0.0,180.0,358.1,358.1,0.8244047619047619,0.8541666666666666,0.8033357048350809,0.3333333333333333,0.8244047619047619,0.9884941221202387,0.9053571428571429,0.04060382062184485,True,neural_embedding_gpu_assumed,340.195,2.323657142857143e-05
lexical_k5,5.0,1.08e-06,0.0,2.1944285714285715e-05,2.3024285714285715e-05,2.3024285714285715e-05,187.1,0.0,180.0,367.1,367.1,0.8690476190476191,0.8541666666666666,0.8274623198967402,0.22142857142857145,0.8690476190476191,0.9884941221202387,0.9053571428571429,0.04060382062184485,True,neural_embedding_gpu_assumed,348.745,2.647792857142857e-05
lexical_k5_rerank,5.0,1.08e-06,2e-05,2.206142857142857e-05,4.314142857142857e-05,4.314142857142857e-05,187.1,90.0,180.0,457.1,457.1,0.8839285714285714,0.8571428571428571,0.8401635854666785,0.2285714285714286,0.8839285714285714,0.9866426800201966,0.8946428571428572,0.04555725798687224,True,neural_embedding_gpu_assumed,434.245,4.961264285714285e-05
hybrid_k5_rerank,5.0,1.08e-06,2e-05,5.729571428571429e-05,7.837571428571428e-05,7.837571428571428e-05,187.1,90.0,310.0,587.1,587.1,0.8839285714285714,0.8660714285714286,0.8481876829181134,0.2285714285714286,0.8839285714285714,0.9980527279559701,0.8910714285714286,0.03939072682861947,True,neural_embedding_gpu_assumed,557.745,9.013207142857142e-05
hybrid_k8_rerank,8.0,1.08e-06,3.2e-05,6.391071428571429e-05,9.699071428571428e-05,9.699071428571428e-05,200.6,144.0,310.0,654.6,654.6,0.9166666666666666,0.8683035714285714,0.8621765524357942,0.15178571428571427,0.9166666666666666,0.9980527279559701,0.8910714285714286,0.03939072682861947,True,neural_embedding_gpu_assumed,621.87,0.00011153932142857141
hybrid_k10_large,10.0,1.08e-06,4e-05,0.0001554607142857143,0.00019654071428571427,0.00019654071428571427,209.6,180.0,520.0,909.6,909.6,0.9166666666666666,0.8683035714285714,0.8621765524357942,0.12142857142857143,0.9166666666666666,1.0,0.8910714285714286,0.03812500000000001,True,neural_embedding_gpu_assumed,864.12,0.0002260218214285714
dense_hash_k5,5.0,2.28e-06,0.0,2.1781428571428573e-05,2.406142857142857e-05,2.406142857142857e-05,199.1,0.0,180.0,379.1,379.1,0.7886904761904762,0.7086309523809524,0.7075949748064025,0.19285714285714287,0.7886904761904762,0.9881858160545797,0.7422619047619048,0.09788755289785657,False,neural_embedding_gpu_assumed,360.145,2.7670642857142855e-05
dense_hash_k5_rerank,5.0,2.28e-06,2e-05,2.2112857142857143e-05,4.4392857142857144e-05,4.4392857142857144e-05,199.1,90.0,180.0,469.1,469.1,0.8065476190476191,0.7886904761904762,0.7651637103092792,0.19642857142857145,0.8065476190476191,0.9873705169491018,0.8565476190476191,0.05841749731641717,False,neural_embedding_gpu_assumed,445.645,5.105178571428571e-05
hybrid_dense_hash_k5_rerank,5.0,2.28e-06,2e-05,5.7430714285714287e-05,7.971071428571428e-05,7.971071428571428e-05,203.1,90.0,310.0,603.1,603.1,0.8541666666666666,0.8333333333333334,0.8143837268549787,0.2142857142857143,0.8541666666666666,0.9980705928355861,0.8982142857142857,0.03687911465686906,True,neural_embedding_gpu_assumed,572.945,9.166732142857142e-05
lexical_k3,3.0,1.08e-06,0.0,1.9125714285714287e-05,2.0205714285714286e-05,2.0205714285714286e-05,178.1,0.0,180.0,358.1,358.1,0.8244047619047619,0.8541666666666666,0.8033357048350809,0.3333333333333333,0.8244047619047619,0.9884941221202387,0.9053571428571429,0.04060382062184485,True,high_volume_enterprise,393.9100000000001,1.5154285714285714e-05
lexical_k5,5.0,1.08e-06,0.0,2.1944285714285715e-05,2.3024285714285715e-05,2.3024285714285715e-05,187.1,0.0,180.0,367.1,367.1,0.8690476190476191,0.8541666666666666,0.8274623198967402,0.22142857142857145,0.8690476190476191,0.9884941221202387,0.9053571428571429,0.04060382062184485,True,high_volume_enterprise,403.81000000000006,1.7268214285714286e-05
lexical_k5_rerank,5.0,1.08e-06,2e-05,2.206142857142857e-05,4.314142857142857e-05,4.314142857142857e-05,187.1,90.0,180.0,457.1,457.1,0.8839285714285714,0.8571428571428571,0.8401635854666785,0.2285714285714286,0.8839285714285714,0.9866426800201966,0.8946428571428572,0.04555725798687224,True,high_volume_enterprise,502.81000000000006,3.2356071428571425e-05
hybrid_k5_rerank,5.0,1.08e-06,2e-05,5.729571428571429e-05,7.837571428571428e-05,7.837571428571428e-05,187.1,90.0,310.0,587.1,587.1,0.8839285714285714,0.8660714285714286,0.8481876829181134,0.2285714285714286,0.8839285714285714,0.9980527279559701,0.8910714285714286,0.03939072682861947,True,high_volume_enterprise,645.8100000000001,5.878178571428571e-05
hybrid_k8_rerank,8.0,1.08e-06,3.2e-05,6.391071428571429e-05,9.699071428571428e-05,9.699071428571428e-05,200.6,144.0,310.0,654.6,654.6,0.9166666666666666,0.8683035714285714,0.8621765524357942,0.15178571428571427,0.9166666666666666,0.9980527279559701,0.8910714285714286,0.03939072682861947,True,high_volume_enterprise,720.0600000000001,7.274303571428571e-05
hybrid_k10_large,10.0,1.08e-06,4e-05,0.0001554607142857143,0.00019654071428571427,0.00019654071428571427,209.6,180.0,520.0,909.6,909.6,0.9166666666666666,0.8683035714285714,0.8621765524357942,0.12142857142857143,0.9166666666666666,1.0,0.8910714285714286,0.03812500000000001,True,high_volume_enterprise,1000.5600000000001,0.0001474055357142857
dense_hash_k5,5.0,2.28e-06,0.0,2.1781428571428573e-05,2.406142857142857e-05,2.406142857142857e-05,199.1,0.0,180.0,379.1,379.1,0.7886904761904762,0.7086309523809524,0.7075949748064025,0.19285714285714287,0.7886904761904762,0.9881858160545797,0.7422619047619048,0.09788755289785657,False,high_volume_enterprise,417.01000000000005,1.8046071428571428e-05
dense_hash_k5_rerank,5.0,2.28e-06,2e-05,2.2112857142857143e-05,4.4392857142857144e-05,4.4392857142857144e-05,199.1,90.0,180.0,469.1,469.1,0.8065476190476191,0.7886904761904762,0.7651637103092792,0.19642857142857145,0.8065476190476191,0.9873705169491018,0.8565476190476191,0.05841749731641717,False,high_volume_enterprise,516.0100000000001,3.3294642857142854e-05
hybrid_dense_hash_k5_rerank,5.0,2.28e-06,2e-05,5.7430714285714287e-05,7.971071428571428e-05,7.971071428571428e-05,203.1,90.0,310.0,603.1,603.1,0.8541666666666666,0.8333333333333334,0.8143837268549787,0.2142857142857143,0.8541666666666666,0.9980705928355861,0.8982142857142857,0.03687911465686906,True,high_volume_enterprise,663.4100000000001,5.9783035714285716e-05
