variant,query_type,query_type_index,count,recall_at_k,mrr,ndcg_at_k,context_precision,faithfulness,hallucination_risk,latency_ms,cost_usd
hybrid_dense_hash_k5_rerank,ambiguous,1.0,3.0,0.38888888888888884,0.3333333333333333,0.305858027070595,0.20000000000000004,1.0,0.14,603.1,7.98e-05
hybrid_dense_hash_k5_rerank,cloud_operations,2.0,3.0,1.0,0.8333333333333334,0.8769765845238192,0.20000000000000004,1.0,0.023333333333333355,603.1,8.016e-05
hybrid_dense_hash_k5_rerank,compliance,3.0,10.0,1.0,0.95,0.9630929753571458,0.2,0.9984375,0.023765625000000012,603.1,7.8944e-05
hybrid_dense_hash_k5_rerank,cost_latency,4.0,7.0,1.0,0.9285714285714286,0.9472756790816368,0.2285714285714286,1.0,0.0,603.1,7.926285714285714e-05
hybrid_dense_hash_k5_rerank,fact_lookup,5.0,11.0,0.8636363636363636,0.8181818181818182,0.8197984146187273,0.18181818181818182,0.9985096870342772,0.02695355191256832,603.1,7.983636363636364e-05
hybrid_dense_hash_k5_rerank,multi_hop,6.0,5.0,0.4666666666666666,0.6666666666666667,0.48156723561365383,0.24000000000000005,1.0,0.14000000000000004,603.1,8.0384e-05
hybrid_dense_hash_k5_rerank,policy_reasoning,7.0,10.0,0.75,0.6833333333333333,0.6737197712769296,0.2,0.9982758620689655,0.05828735632183909,603.1,7.963999999999999e-05
hybrid_dense_hash_k5_rerank,stale_context,8.0,3.0,0.8333333333333334,1.0,0.8710490642551528,0.26666666666666666,1.0,0.023333333333333355,603.1,7.92e-05
hybrid_dense_hash_k5_rerank,vendor_risk,9.0,4.0,1.0,1.0,1.0,0.2,0.9861891035240091,0.008977082709394069,603.1,8.167999999999999e-05
