variant,top_k,retrieval_cost,rerank_cost,generation_cost,total_cost,cost_usd,retrieval_latency_ms,rerank_latency_ms,generation_latency_ms,total_latency_ms,latency_ms,recall_at_k,mrr,ndcg_at_k,context_precision,context_recall,faithfulness,answer_term_coverage,hallucination_risk,pareto_optimal
lexical_k5_rerank,5.0,1.08e-06,2e-05,2.206142857142857e-05,4.314142857142857e-05,4.314142857142857e-05,187.1,90.0,180.0,457.1,457.1,0.8839285714285714,0.8571428571428571,0.8401635854666785,0.2285714285714286,0.8839285714285714,0.9866426800201966,0.8946428571428572,0.04555725798687224,True
hybrid_k5_rerank,5.0,1.08e-06,2e-05,5.729571428571429e-05,7.837571428571428e-05,7.837571428571428e-05,187.1,90.0,310.0,587.1,587.1,0.8839285714285714,0.8660714285714286,0.8481876829181134,0.2285714285714286,0.8839285714285714,0.9980527279559701,0.8910714285714286,0.03939072682861947,True
hybrid_dense_hash_k5_rerank,5.0,2.28e-06,2e-05,5.7430714285714287e-05,7.971071428571428e-05,7.971071428571428e-05,203.1,90.0,310.0,603.1,603.1,0.8541666666666666,0.8333333333333334,0.8143837268549787,0.2142857142857143,0.8541666666666666,0.9980705928355861,0.8982142857142857,0.03687911465686906,True
