variant,metric,mean,ci_lower,ci_upper
hybrid_dense_hash_k5_rerank,faithfulness,0.9894198184923225,0.9873244361605943,0.9914444279275587
hybrid_dense_hash_k5_rerank,hallucination_risk,0.041460451313323696,0.024893645872054577,0.06064320157080205
hybrid_dense_hash_k5_rerank,context_precision,0.19285714285714287,0.16428571428571428,0.21785714285714286
hybrid_dense_hash_k5_rerank,latency_ms,541.9,541.9,541.9
hybrid_dense_hash_k5_rerank,cost_usd,8.522428571428571e-05,8.497571428571428e-05,8.544928571428571e-05
hybrid_k5_rerank,faithfulness,0.9892629037093735,0.9872079032670869,0.9913696840316701
hybrid_k5_rerank,hallucination_risk,0.03635411258890724,0.02213983133459024,0.05440659226676516
hybrid_k5_rerank,context_precision,0.21071428571428572,0.18214285714285716,0.2392857142857143
hybrid_k5_rerank,latency_ms,525.9,525.9,525.9
hybrid_k5_rerank,cost_usd,8.394071428571429e-05,8.370714285714285e-05,8.415714285714285e-05
lexical_k5_rerank,faithfulness,0.9840642176432304,0.9812974480462419,0.9868766362006526
lexical_k5_rerank,hallucination_risk,0.045566591865233576,0.028801360424215366,0.06533309315633273
lexical_k5_rerank,context_precision,0.20714285714285716,0.17857142857142858,0.2392857142857143
lexical_k5_rerank,latency_ms,395.9,395.9,395.9
lexical_k5_rerank,cost_usd,4.6821428571428574e-05,4.667285714285714e-05,4.697714285714286e-05
