variant,query_type,query_type_index,count,recall_at_k,mrr,ndcg_at_k,context_precision,faithfulness,hallucination_risk,latency_ms,cost_usd
hybrid_dense_hash_k5_rerank,ambiguous,1.0,3.0,0.5555555555555555,0.6666666666666666,0.5475253174422237,0.26666666666666666,0.9895833333333334,0.1934375,541.9,8.445e-05
hybrid_dense_hash_k5_rerank,cloud_operations,2.0,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.13333333333333333,0.988961868272213,0.030508118956394863,541.9,8.452999999999999e-05
hybrid_dense_hash_k5_rerank,compliance,3.0,10.0,0.8,0.8,0.8,0.16,0.9870153435274404,0.024190026707163814,541.9,8.4926e-05
hybrid_dense_hash_k5_rerank,cost_latency,4.0,7.0,1.0,1.0,1.0,0.2285714285714286,0.9903846123085024,0.006250001999473421,541.9,8.586714285714286e-05
hybrid_dense_hash_k5_rerank,fact_lookup,5.0,11.0,0.8181818181818182,0.7575757575757577,0.7791492471777564,0.18181818181818182,0.9885390664606508,0.021767788618758832,541.9,8.547909090909091e-05
hybrid_dense_hash_k5_rerank,multi_hop,6.0,5.0,0.5333333333333333,0.8,0.5448967285994659,0.28,0.9901166629980189,0.09042416905128772,541.9,8.6162e-05
hybrid_dense_hash_k5_rerank,policy_reasoning,7.0,10.0,0.75,0.6416666666666667,0.6237250154456122,0.18,0.9947567596338087,0.05357477290469095,541.9,8.4914e-05
hybrid_dense_hash_k5_rerank,stale_context,8.0,3.0,0.3333333333333333,0.5,0.3333333333333333,0.13333333333333333,0.9841968067774519,0.03360540892798961,541.9,8.533e-05
hybrid_dense_hash_k5_rerank,vendor_risk,9.0,4.0,1.0,1.0,1.0,0.2,0.9860893616479515,0.009041914928831551,541.9,8.477e-05
hybrid_k5_rerank,ambiguous,1.0,3.0,0.7222222222222222,0.7777777777777778,0.6325601526847403,0.3333333333333333,0.9838290998217469,0.10384441844919785,525.9,8.437e-05
hybrid_k5_rerank,cloud_operations,2.0,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.13333333333333333,0.9929078014184397,0.027943262411347553,525.9,8.345e-05
hybrid_k5_rerank,compliance,3.0,10.0,0.8,0.8,0.8,0.16,0.986678560881637,0.02440893542693594,525.9,8.3462e-05
hybrid_k5_rerank,cost_latency,4.0,7.0,1.0,1.0,1.0,0.2285714285714286,0.9927319712509084,0.004724218686909468,525.9,8.437571428571428e-05
hybrid_k5_rerank,fact_lookup,5.0,11.0,0.8181818181818182,0.7575757575757577,0.7767064826501842,0.18181818181818182,0.9929759970433182,0.025247420103661353,525.9,8.431181818181818e-05
hybrid_k5_rerank,multi_hop,6.0,5.0,0.8,0.9,0.7340859047020177,0.4,0.9864565173874089,0.07880326369818422,525.9,8.443400000000001e-05
hybrid_k5_rerank,policy_reasoning,7.0,10.0,0.75,0.7083333333333333,0.6737250154456123,0.18,0.9902332234684816,0.05534840474548698,525.9,8.3666e-05
hybrid_k5_rerank,stale_context,8.0,3.0,0.5,0.5,0.4123992375897654,0.20000000000000004,0.9839563065369518,0.033761734084314786,525.9,8.437e-05
hybrid_k5_rerank,vendor_risk,9.0,4.0,1.0,1.0,1.0,0.2,0.9858456969306026,0.009200296995108354,525.9,8.315e-05
lexical_k5_rerank,ambiguous,1.0,3.0,0.7222222222222222,0.7777777777777778,0.6638850075065128,0.3333333333333333,0.9749087364348025,0.20297598798404506,395.8999999999999,4.710333333333334e-05
lexical_k5_rerank,cloud_operations,2.0,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.13333333333333333,1.0,0.023333333333333355,395.8999999999999,4.649e-05
lexical_k5_rerank,compliance,3.0,10.0,0.8,0.75,0.7630929753571458,0.16,0.9862266148773674,0.024702700329711245,395.9,4.6498e-05
lexical_k5_rerank,cost_latency,4.0,7.0,1.0,1.0,1.0,0.2285714285714286,0.9870752884908597,0.008401062480941144,395.9,4.710714285714285e-05
lexical_k5_rerank,fact_lookup,5.0,11.0,0.7727272727272727,0.7575757575757577,0.7551430542166119,0.16363636363636364,0.9866115500947668,0.04211158334749257,395.9,4.700636363636364e-05
lexical_k5_rerank,multi_hop,6.0,5.0,0.8,0.9,0.7340859047020177,0.4,0.9865764966740576,0.09272527716186256,395.9,4.7146e-05
lexical_k5_rerank,policy_reasoning,7.0,10.0,0.75,0.7333333333333333,0.6937503349954187,0.18,0.9790610384153642,0.046276991696679995,395.9,4.6722000000000004e-05
lexical_k5_rerank,stale_context,8.0,3.0,0.5,0.5,0.4123992375897654,0.20000000000000004,0.9787234042553191,0.03716312056737592,395.8999999999999,4.710333333333333e-05
lexical_k5_rerank,vendor_risk,9.0,4.0,1.0,1.0,1.0,0.2,0.974671669793621,0.016463414634146384,395.9,4.629e-05
